,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
88,georgetown,5.41,100.34,26.0,88,20,2.1,MY,1604770334
89,mount gambier,-37.83,140.77,5.0,86,1,3.1,AU,1604770385
90,cabra,37.47,-4.44,18.0,72,20,1.0,ES,1604770540
91,sechura,-5.56,-80.82,24.07,53,80,6.5,PE,1604770540
92,shunyi,40.12,116.65,9.0,16,0,7.0,CN,1604770541
93,codrington,-38.27,141.97,4.78,93,7,2.78,AU,1604770332
94,puerto ayora,-0.74,-90.35,24.0,69,75,8.7,EC,1604770319
95,tymovskoye,50.85,142.66,-5.1,85,34,1.17,RU,1604770541
96,nyurba,63.28,118.33,-20.86,90,39,2.16,RU,1604770379
97,bam,29.11,58.36,17.82,26,0,3.94,IR,1604770541
98,yarkovo,57.4,67.08,2.22,94,100,2.41,RU,1604770541
99,carballo,43.21,-8.69,16.0,82,75,4.1,ES,1604770327
100,sindor,62.86,51.89,0.26,97,100,2.42,RU,1604770542
101,ayorou,14.73,0.92,31.14,13,7,4.01,NE,1604770542
102,lompoc,34.64,-120.46,13.0,76,40,3.1,US,1604770340
103,hofn,64.25,-15.21,4.88,75,74,3.43,IS,1604770347
104,hay river,60.82,-115.8,-20.0,76,100,1.5,CA,1604770542
105,trairi,-3.28,-39.27,30.08,58,20,7.34,BR,1604770543
106,carlisle,40.2,-77.19,23.33,41,0,1.43,US,1604770525
107,norman wells,65.28,-126.83,-7.0,92,90,1.0,CA,1604770307
108,general bravo,25.8,-99.17,26.35,46,26,2.01,MX,1604770543
109,coahuayana,18.73,-103.68,26.0,65,20,1.76,MX,1604770410
110,naze,28.37,129.48,25.0,88,75,4.1,JP,1604770321
111,coihaique,-45.58,-72.07,19.0,34,0,3.1,CL,1604770545
112,altay,47.87,88.12,1.56,78,15,1.67,CN,1604770377
113,longyearbyen,78.22,15.64,1.0,80,75,1.5,SJ,1604770338
114,east london,-33.02,27.91,22.0,83,0,3.6,ZA,1604770312
115,lata,40.16,-8.33,16.11,83,83,1.34,PT,1604770355
116,tungawan,7.51,122.37,24.5,84,100,0.86,PH,1604770547
117,thai binh,20.45,106.33,23.0,69,0,2.1,VN,1604770547
118,sitka,57.05,-135.33,0.16,91,58,1.22,US,1604770357
119,iqaluit,63.75,-68.51,-12.0,72,90,3.6,CA,1604770547
120,zeya,53.75,127.27,-8.07,86,99,2.56,RU,1604770547
121,sinnamary,5.38,-52.95,29.35,76,51,6.52,GF,1604770548
122,khasan,42.43,130.64,7.0,58,21,6.85,RU,1604770383
123,huambo,-12.78,15.74,22.91,44,92,1.61,AO,1604770548
124,lagoa,39.05,-27.98,16.5,70,2,8.94,PT,1604770349
125,mareeba,-17.0,145.43,25.0,83,75,2.6,AU,1604770548
126,vasto,42.12,14.71,12.22,85,0,0.45,IT,1604770548
127,lienz,46.83,12.77,3.33,97,0,1.37,AT,1604770548
128,hobyo,5.35,48.53,26.62,77,47,5.19,SO,1604770345
129,gayny,60.31,54.32,-1.69,98,85,2.32,RU,1604770549
130,zabol,32.25,67.25,7.91,41,15,3.04,AF,1604770549
131,chuy,-33.7,-53.46,20.86,70,24,5.56,UY,1604770317
132,klaksvik,62.23,-6.59,5.0,86,100,4.2,FO,1604770368
133,samarai,-10.62,150.67,27.13,83,27,3.7,PG,1604770354
134,guadalupe,25.68,-100.25,22.0,64,75,3.1,MX,1604770551
135,hendek,40.8,30.75,12.0,87,75,1.88,TR,1604770551
136,vaini,-21.2,-175.2,20.0,94,20,2.1,TO,1604770310
137,bilma,18.69,12.92,23.49,25,3,3.67,NE,1604770375
138,ajdabiya,30.76,20.23,20.21,64,1,6.88,LY,1604770553
139,kodiak,57.79,-152.41,2.0,88,90,1.5,US,1604770323
140,upernavik,72.79,-56.15,-19.05,76,20,3.22,GL,1604770324
141,abu samrah,35.3,37.18,17.25,61,2,3.24,SY,1604770343
142,killybegs,54.63,-8.45,10.56,87,75,2.1,IE,1604770555
143,bathsheba,13.22,-59.52,30.0,74,40,7.7,BB,1604770348
144,dikson,73.51,80.55,-19.22,89,10,5.47,RU,1604770326
145,halifax,44.65,-63.57,19.0,45,44,3.1,CA,1604770262
146,mount isa,-20.73,139.5,26.0,11,55,4.6,AU,1604770322
147,wlingi,-8.08,112.33,22.34,86,12,0.52,ID,1604770558
148,dali,25.7,100.18,10.14,68,0,0.39,CN,1604770558
149,abapo,-18.83,-63.47,37.03,19,34,5.08,BO,1604770558
150,hualmay,-11.1,-77.61,20.03,66,5,5.16,PE,1604770558
151,new bern,35.11,-77.04,25.0,64,20,4.1,US,1604770304
152,inongo,-1.95,18.27,24.03,82,40,1.72,CD,1604770558
153,port macquarie,-31.43,152.92,15.0,87,90,3.1,AU,1604770319
154,fortuna,40.6,-124.16,10.56,87,1,5.7,US,1604770559
155,jonkoping,57.78,14.16,9.0,93,88,4.6,SE,1604770265
156,faanui,-16.48,-151.75,25.94,80,6,5.96,PF,1604770352
157,megion,61.03,76.11,2.0,74,0,2.0,RU,1604770559
158,rosetta,31.4,30.42,16.0,100,40,2.1,EG,1604770559
159,hermanus,-34.42,19.23,18.33,58,5,4.02,ZA,1604770320
160,kavieng,-2.57,150.8,27.93,70,40,4.23,PG,1604770343
161,mineros,-17.12,-63.23,38.0,37,54,6.7,BO,1604770560
162,udachnyy,66.42,112.4,-19.0,84,0,2.0,RU,1604770560
163,kedrovyy,56.17,91.82,6.0,87,40,3.0,RU,1604770560
164,port blair,11.67,92.75,27.39,79,0,3.47,IN,1604770356
165,cherskiy,68.75,161.3,-14.53,95,96,2.92,RU,1604770315
166,carnarvon,-24.87,113.63,22.0,78,90,5.7,AU,1604770305
167,rochegda,62.8,43.25,2.01,88,93,3.89,RU,1604770561
168,poum,-20.23,164.02,24.75,73,0,6.41,NC,1604770379
169,fairbanks,64.84,-147.72,-2.0,86,90,1.5,US,1604770090
170,waiouru,-39.48,175.67,11.35,97,93,2.44,NZ,1604770561
171,sao filipe,14.9,-24.5,26.62,76,88,5.42,CV,1604770325
